imagePath,thisN,thisTrialN,thisRepN,word,color,cueSide,cueOri,targetX,corrAns,valid,resp.keys,resp.corr,resp.rt,resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro_text.started,text.started,continue_resp.started,intro_text.stopped,continue_resp.keys,continue_resp.rt,continue_resp.duration,ITI.started,fixationITI.started,fixationITI.stopped,ITI.stopped,trial.started,fixationITI_continue.started,cue.started,target.started,cue.stopped,resp.started,trial.stopped,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,feedback.started,fixationITI_continue_feedback.started,text_feedback.started,feedback.stopped,fixationITI_continue_feedback.stopped,text_feedback.stopped,target.stopped,fixationITI_continue.stopped,resp.stopped,exit.started,text_thanks.started,text_thanks.stopped,exit.stopped,Participant,Age,Gender,Group,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.001626000041142106,0.00427910010330379,0.00427910010330379,2.958598400000483,space,2.9399342997930944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678988,,,A,001,2025-01-10_12h20.49.071,Yagmur_Final_308,2024.2.4,60.1372090367801,2025-01-10 12h20.56.364271 +0300,
images/coffee_mug.png,0,0,0,health,black,right,90,7,right,1,right,1,0.309312499826774,None,0,0,0,0,0,0,0,95,3.0443142999429256,,,,,,,,,3.016332400031388,3.0443142999429256,4.1719448999501765,4.155437800101936,4.16605110000819,4.1719448999501765,4.1719448999501765,4.371740800095722,4.371740800095722,4.371740800095722,4.689501600107178,right,1,0.309312499826774,None,4.705015300074592,4.709592999890447,4.709592999890447,5.704872000031173,,,,,,,,,,678988,,,A,001,2025-01-10_12h20.49.071,Yagmur_Final_308,2024.2.4,60.1372090367801,2025-01-10 12h20.56.364271 +0300,
images/coffee_mug.png,1,1,0,death,red,right,90,7,right,1,left,0,0.4557749000377953,None,0,0,0,0,0,1,1,39,5.721697800094262,,,,,,,,,5.716302799992263,5.721697800094262,6.904786000028253,6.888666700106114,6.898770099971443,6.904786000028253,6.904786000028253,7.104762000031769,7.104762000031769,7.104762000031769,7.572478400077671,left,0,0.4557749000377953,None,7.583328099921346,7.5879001000430435,7.5879001000430435,8.571701999986544,8.588212700095028,8.588212700095028,,,,,,,,678988,,,A,001,2025-01-10_12h20.49.071,Yagmur_Final_308,2024.2.4,60.1372090367801,2025-01-10 12h20.56.364271 +0300,
images/coffee_mug.png,2,2,0,death,black,left,-90,-7,left,1,right,0,0.4162506000138819,None,0,0,0,0,0,2,2,89,8.588212700095028,,,,,,,,,8.579550300026312,8.588212700095028,9.72105020005256,9.705299400025979,9.71546550001949,9.72105020005256,9.72105020005256,9.920908299973235,9.920908299973235,9.920908299973235,10.338741600047797,right,0,0.4162506000138819,None,10.347457699943334,10.354527000105008,10.354527000105008,11.338358599925414,11.354231900069863,11.354231900069863,,,,,,,,678988,,,A,001,2025-01-10_12h20.49.071,Yagmur_Final_308,2024.2.4,60.1372090367801,2025-01-10 12h20.56.364271 +0300,
images/coffee_mug.png,3,3,0,health,red,right,90,7,right,1,left,0,0.14380770013667643,None,0,0,0,0,0,3,3,9,11.354231900069863,,,,,,,,,11.349000700050965,11.354231900069863,12.554035299923271,12.537680099951103,12.549031500006095,12.554035299923271,12.554035299923271,12.754098000004888,12.754098000004888,12.754098000004888,12.904963199980557,left,0,0.14380770013667643,None,12.913383800070733,12.920796100050211,12.920796100050211,13.904335200088099,13.92063710000366,13.92063710000366,,,,,,,,678988,,,A,001,2025-01-10_12h20.49.071,Yagmur_Final_308,2024.2.4,60.1372090367801,2025-01-10 12h20.56.364271 +0300,
images/coffee_mug.png,4,4,0,death,blue,left,-90,-7,left,1,left,1,0.7960413999389857,None,0,0,0,0,0,4,4,76,13.92063710000366,,,,,,,,,13.913939899997786,13.92063710000366,15.020440999884158,15.004078000085428,15.014137800084427,15.020440999884158,15.020440999884158,15.22034820006229,15.22034820006229,15.22034820006229,16.02114459988661,left,1,0.7960413999389857,None,16.031592699931934,16.03712509991601,16.03712509991601,17.02049249992706,17.03676849999465,17.03676849999465,,,,,,,,678988,,,A,001,2025-01-10_12h20.49.071,Yagmur_Final_308,2024.2.4,60.1372090367801,2025-01-10 12h20.56.364271 +0300,
images/coffee_mug.png,5,5,0,death,black,left,-90,-7,left,1,right,0,0.16144190006889403,None,0,0,0,0,0,5,5,29,17.03676849999465,,,,,,,,,17.02693699998781,17.03676849999465,18.103289399994537,18.087209899909794,18.095897000050172,18.103289399994537,18.103289399994537,18.303287799935788,18.303287799935788,18.303287799935788,18.471144400071353,right,0,0.16144190006889403,None,18.48453380004503,18.48883859999478,18.48883859999478,19.486435800092295,,,,,,,,,,678988,,,A,001,2025-01-10_12h20.49.071,Yagmur_Final_308,2024.2.4,60.1372090367801,2025-01-10 12h20.56.364271 +0300,
images/coffee_mug.png,6,6,0,death,black,right,90,-7,left,0,right,0,0.6776446001604199,None,0,0,0,0,0,6,6,113,19.503354700049385,,,,,,,,,19.49484970001504,19.503354700049385,20.60297890007496,20.587050300091505,20.596008399967104,20.60297890007496,20.60297890007496,20.80293480004184,20.80293480004184,20.80293480004184,21.487496400019154,right,0,0.6776446001604199,None,21.49935059994459,21.503707400057465,21.503707400057465,22.486696700099856,22.502825600095093,22.502825600095093,,,,,,,,678988,,,A,001,2025-01-10_12h20.49.071,Yagmur_Final_308,2024.2.4,60.1372090367801,2025-01-10 12h20.56.364271 +0300,
images/coffee_mug.png,7,7,0,gate,red,left,-90,-7,left,1,right,0,0.09539110003970563,None,0,0,0,0,0,7,7,6,22.502825600095093,,,,,,,,,22.495394800091162,22.502825600095093,23.78627569996752,23.769765800097957,23.783444399945438,23.78627569996752,23.78627569996752,23.985633299918845,23.985633299918845,23.985633299918845,24.086615900043398,right,0,0.09539110003970563,None,24.094170399941504,24.102513799909502,24.102513799909502,25.0863793999888,25.102530299918726,25.102530299918726,,,,,,,,678988,,,A,001,2025-01-10_12h20.49.071,Yagmur_Final_308,2024.2.4,60.1372090367801,2025-01-10 12h20.56.364271 +0300,
images/coffee_mug.png,8,8,0,gate,blue,left,-90,-7,left,1,left,1,0.3109512999653816,None,0,0,0,0,0,8,8,43,25.102530299918726,,,,,,,,,25.098305199993774,25.102530299918726,26.219240400008857,26.202497200109065,26.208963999990374,26.219240400008857,26.219240400008857,26.418714799918234,26.418714799918234,26.418714799918234,26.737003799993545,left,1,0.3109512999653816,None,26.748194799991325,26.752537799999118,26.752537799999118,27.736150099895895,27.752235899912193,27.752235899912193,,,,,,,,678988,,,A,001,2025-01-10_12h20.49.071,Yagmur_Final_308,2024.2.4,60.1372090367801,2025-01-10 12h20.56.364271 +0300,
