imageFile,corrAns,sameOrDiff,ori,thisN,thisTrialN,thisRepN,keyResp.keys,keyResp.rt,keyResp.duration,trials_faceRecognition.thisRepN,trials_faceRecognition.thisTrialN,trials_faceRecognition.thisN,trials_faceRecognition.thisIndex,thisRow.t,notes,instructions.started,text.started,key_space.started,instructions.stopped,key_space.keys,key_space.rt,key_space.duration,trial.started,same_text.started,different_text.started,image.started,keyResp.started,arrow_left.started,arrow_right.started,trial.stopped,trials_faceRecognition.keyResp.keys,trials_faceRecognition.keyResp.rt,trials_faceRecognition.keyResp.duration,feedback.started,textCorr.started,textCorr.stopped,feedback.stopped,Participant ID,Age,Gender,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0017650999998295447,0.004330599999775586,0.004330599999775586,1.4725085999998555,space,1.4641039000007368,None,,,,,,,,,,,,,,,,980532,,,001,2024-12-26_23h57.44.124,glasgowFaceRecognition-Yagmur,2024.2.4,59.985591460985184,2024-12-26 23h57.52.936820 +0300,
same/020_C2_DV.jpg,left,same,0,0,0,0,left,0.5877575000004072,None,0,0,0,0,1.5510472000005393,,,,,,,,,1.5175500000004831,1.5510472000005393,1.5510472000005393,1.5510472000005393,1.5510472000005393,1.5510472000005393,1.5510472000005393,2.1532100000003993,left,0.5877575000004072,None,2.1570324000003893,2.168134800000189,3.1709209999999075,3.1519506000004185,980532,,,001,2024-12-26_23h57.44.124,glasgowFaceRecognition-Yagmur,2024.2.4,59.985591460985184,2024-12-26 23h57.52.936820 +0300,
same/025_C2_DV.jpg,left,same,0,1,1,0,right,1.3134114000004047,None,0,1,1,1,3.1709209999999075,,,,,,,,,3.163044699999773,3.1709209999999075,3.1709209999999075,3.1709209999999075,3.1709209999999075,3.1709209999999075,3.1709209999999075,4.486897599999793,right,1.3134114000004047,None,4.495744300000297,4.501070100000106,5.505763799999841,5.484841200000119,980532,,,001,2024-12-26_23h57.44.124,glasgowFaceRecognition-Yagmur,2024.2.4,59.985591460985184,2024-12-26 23h57.52.936820 +0300,
same/068_C2_DV.jpg,left,same,0,2,2,0,right,0.7539757999993526,None,0,2,2,2,5.505763799999841,,,,,,,,,5.498688600000605,5.505763799999841,5.505763799999841,5.505763799999841,5.505763799999841,5.505763799999841,5.505763799999841,6.269505199999912,right,0.7539757999993526,None,6.270351400000436,6.284247700000378,7.288023799999792,7.267703200000142,980532,,,001,2024-12-26_23h57.44.124,glasgowFaceRecognition-Yagmur,2024.2.4,59.985591460985184,2024-12-26 23h57.52.936820 +0300,
same/069_C2_DV.jpg,left,same,0,3,3,0,right,0.19645529999979772,None,0,3,3,3,7.288023799999792,,,,,,,,,7.275640200000453,7.288023799999792,7.288023799999792,7.288023799999792,7.288023799999792,7.288023799999792,7.288023799999792,7.4859637999998085,right,0.19645529999979772,None,7.486479600000166,7.500675500000398,8.50363710000056,8.484752899999876,980532,,,001,2024-12-26_23h57.44.124,glasgowFaceRecognition-Yagmur,2024.2.4,59.985591460985184,2024-12-26 23h57.52.936820 +0300,
same/074_C2_DV.jpg,left,same,0,4,4,0,right,0.07651970000006258,None,0,4,4,4,8.50363710000056,,,,,,,,,8.4951901000004,8.50363710000056,8.50363710000056,8.50363710000056,8.50363710000056,8.50363710000056,8.50363710000056,8.585826000000452,right,0.07651970000006258,None,8.58643260000008,8.600462200000038,9.603985200000352,9.584491900000103,980532,,,001,2024-12-26_23h57.44.124,glasgowFaceRecognition-Yagmur,2024.2.4,59.985591460985184,2024-12-26 23h57.52.936820 +0300,
same/075_DV_C2.jpg,left,same,0,5,5,0,right,0.015982099999746424,None,0,5,5,5,9.603985200000352,,,,,,,,,9.596976800000448,9.603985200000352,9.603985200000352,9.603985200000352,9.603985200000352,9.603985200000352,9.603985200000352,9.635382700000264,right,0.015982099999746424,None,9.635969900000418,9.650441499999943,10.65419060000022,10.63480680000066,980532,,,001,2024-12-26_23h57.44.124,glasgowFaceRecognition-Yagmur,2024.2.4,59.985591460985184,2024-12-26 23h57.52.936820 +0300,
same/081_C2_DV.jpg,left,same,0,6,6,0,right,0.03658450000057201,None,0,6,6,6,10.65419060000022,,,,,,,,,10.646485299999767,10.65419060000022,10.65419060000022,10.65419060000022,10.65419060000022,10.65419060000022,10.65419060000022,10.70198210000035,right,0.03658450000057201,None,10.702581500000633,10.716948500000399,11.719828600000255,11.70098980000057,980532,,,001,2024-12-26_23h57.44.124,glasgowFaceRecognition-Yagmur,2024.2.4,59.985591460985184,2024-12-26 23h57.52.936820 +0300,
same/085_C2_DV.jpg,left,same,0,7,7,0,left,0.18090699999993376,None,0,7,7,7,11.719828600000255,,,,,,,,,11.711313400000108,11.719828600000255,11.719828600000255,11.719828600000255,11.719828600000255,11.719828600000255,11.719828600000255,11.901950899999974,left,0.18090699999993376,None,11.905208700000003,11.916940300000533,12.920322599999963,12.900740600000063,980532,,,001,2024-12-26_23h57.44.124,glasgowFaceRecognition-Yagmur,2024.2.4,59.985591460985184,2024-12-26 23h57.52.936820 +0300,
same/092_C2_DV.jpg,left,same,0,8,8,0,left,0.1470039000005272,None,0,8,8,8,12.920322599999963,,,,,,,,,12.913270099999863,12.920322599999963,12.920322599999963,12.920322599999963,12.920322599999963,12.920322599999963,12.920322599999963,13.068568000000596,left,0.1470039000005272,None,13.069152900000518,13.08335790000001,14.086228099999971,14.067106899999999,980532,,,001,2024-12-26_23h57.44.124,glasgowFaceRecognition-Yagmur,2024.2.4,59.985591460985184,2024-12-26 23h57.52.936820 +0300,
same/102_C2_DV.jpg,left,same,0,9,9,0,left,0.380893699999433,None,0,9,9,9,14.086228099999971,,,,,,,,,14.078291400000126,14.086228099999971,14.086228099999971,14.086228099999971,14.086228099999971,14.086228099999971,14.086228099999971,14.468626500000028,left,0.380893699999433,None,14.469293199999811,14.483489600000212,15.48662830000012,15.466902900000605,980532,,,001,2024-12-26_23h57.44.124,glasgowFaceRecognition-Yagmur,2024.2.4,59.985591460985184,2024-12-26 23h57.52.936820 +0300,
same/108_DV_C2.jpg,left,same,0,10,10,0,left,0.29310979999991105,None,0,10,10,10,15.48662830000012,,,,,,,,,15.479285000000345,15.48662830000012,15.48662830000012,15.48662830000012,15.48662830000012,15.48662830000012,15.48662830000012,15.784727100000055,left,0.29310979999991105,None,15.785327300000063,15.799618300000475,16.802756600000066,16.7833784000004,980532,,,001,2024-12-26_23h57.44.124,glasgowFaceRecognition-Yagmur,2024.2.4,59.985591460985184,2024-12-26 23h57.52.936820 +0300,
same/115_C2_DV.jpg,left,same,0,11,11,0,left,0.20832890000019688,None,0,11,11,11,16.802756600000066,,,,,,,,,16.795506999999816,16.802756600000066,16.802756600000066,16.802756600000066,16.802756600000066,16.802756600000066,16.802756600000066,17.018094699999892,left,0.20832890000019688,None,17.018781499999932,17.032682200000636,18.03587040000002,18.016741000000366,980532,,,001,2024-12-26_23h57.44.124,glasgowFaceRecognition-Yagmur,2024.2.4,59.985591460985184,2024-12-26 23h57.52.936820 +0300,
same/120_DV_C2.jpg,left,same,0,12,12,0,left,0.13593430000037188,None,0,12,12,12,18.03587040000002,,,,,,,,,18.0275986000006,18.03587040000002,18.03587040000002,18.03587040000002,18.03587040000002,18.03587040000002,18.03587040000002,18.184280399999807,left,0.13593430000037188,None,18.184894500000155,18.199502600000415,19.20216789999995,19.18333679999978,980532,,,001,2024-12-26_23h57.44.124,glasgowFaceRecognition-Yagmur,2024.2.4,59.985591460985184,2024-12-26 23h57.52.936820 +0300,
same/129_C2_DV.jpg,left,same,0,13,13,0,left,0.1141010000001188,None,0,13,13,13,19.20216789999995,,,,,,,,,19.193536900000254,19.20216789999995,19.20216789999995,19.20216789999995,19.20216789999995,19.20216789999995,19.20216789999995,19.317563200000222,left,0.1141010000001188,None,19.318146100000376,19.332488699999885,20.335760300000402,20.316446599999836,980532,,,001,2024-12-26_23h57.44.124,glasgowFaceRecognition-Yagmur,2024.2.4,59.985591460985184,2024-12-26 23h57.52.936820 +0300,
