imageFile,corrAns,sameOrDiff,ori,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials_faceRecognition.thisRepN,trials_faceRecognition.thisTrialN,trials_faceRecognition.thisN,trials_faceRecognition.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,image.started,same_text.started,different_text.started,key_resp_2.started,trial.stopped,trials_faceRecognition.key_resp_2.keys,trials_faceRecognition.key_resp_2.rt,trials_faceRecognition.key_resp_2.duration,feedback.started,feedback.stopped,thanks_message.started,thank_you_message.started,thank_you_message.stopped,thanks_message.stopped,Participant ID,Age,Gender,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0016549997963011265,0.004726100014522672,0.004726100014522672,1.6181925998535007,space,1.607706000097096,None,,,,,,,,,,,,,,,,998313,,,001,2024-12-26_22h25.22.668,glasgowFaceRecognition-Yagmur,2024.2.4,60.04166892797383,2024-12-26 22h25.38.890144 +0300,
same/020_C2_DV.jpg,left,same,0,0,0,0,left,1.1297593999188393,None,0,0,0,0,1.690728899789974,,,,,,,,,1.6567706000059843,1.690728899789974,1.690728899789974,1.690728899789974,1.690728899789974,2.8328005999792367,left,1.1297593999188393,None,2.83286719978787,2.833218100015074,,,,,998313,,,001,2024-12-26_22h25.22.668,glasgowFaceRecognition-Yagmur,2024.2.4,60.04166892797383,2024-12-26 22h25.38.890144 +0300,
same/025_C2_DV.jpg,left,same,0,1,1,0,right,0.3764859999064356,None,0,1,1,1,2.8522244999185205,,,,,,,,,2.845354499993846,2.8522244999185205,2.8522244999185205,2.8522244999185205,2.8522244999185205,3.233142599929124,right,0.3764859999064356,None,3.2332081999629736,3.2336374998558313,,,,,998313,,,001,2024-12-26_22h25.22.668,glasgowFaceRecognition-Yagmur,2024.2.4,60.04166892797383,2024-12-26 22h25.38.890144 +0300,
same/068_C2_DV.jpg,left,same,0,2,2,0,left,0.7028867998160422,None,0,2,2,2,3.2528536999598145,,,,,,,,,3.2460925998166203,3.2528536999598145,3.2528536999598145,3.2528536999598145,3.2528536999598145,3.9660259999800473,left,0.7028867998160422,None,3.9660884998738766,3.966431199805811,,,,,998313,,,001,2024-12-26_22h25.22.668,glasgowFaceRecognition-Yagmur,2024.2.4,60.04166892797383,2024-12-26 22h25.38.890144 +0300,
same/069_C2_DV.jpg,left,same,0,3,3,0,right,0.2276754998601973,None,0,3,3,3,3.984583399957046,,,,,,,,,3.9778609999921173,3.984583399957046,3.984583399957046,3.984583399957046,3.984583399957046,4.216296099824831,right,0.2276754998601973,None,4.216350599890575,4.216659899801016,,,,,998313,,,001,2024-12-26_22h25.22.668,glasgowFaceRecognition-Yagmur,2024.2.4,60.04166892797383,2024-12-26 22h25.38.890144 +0300,
same/074_C2_DV.jpg,left,same,0,4,4,0,right,0.14625140000134706,None,0,4,4,4,4.2347096998710185,,,,,,,,,4.227606799919158,4.2347096998710185,4.2347096998710185,4.2347096998710185,4.2347096998710185,4.382849499816075,right,0.14625140000134706,None,4.3829067999031395,4.383217599941418,,,,,998313,,,001,2024-12-26_22h25.22.668,glasgowFaceRecognition-Yagmur,2024.2.4,60.04166892797383,2024-12-26 22h25.38.890144 +0300,
same/075_DV_C2.jpg,left,same,0,5,5,0,left,None,None,0,5,5,5,4.401505099842325,,,,,,,,,4.39429929992184,4.401505099842325,4.401505099842325,4.401505099842325,4.401505099842325,4.499413799960166,left,None,None,4.49947729986161,4.499800799880177,,,,,998313,,,001,2024-12-26_22h25.22.668,glasgowFaceRecognition-Yagmur,2024.2.4,60.04166892797383,2024-12-26 22h25.38.890144 +0300,
same/081_C2_DV.jpg,left,same,0,6,6,0,right,0.02854149998165667,None,0,6,6,6,4.518952199956402,,,,,,,,,4.512064300011843,4.518952199956402,4.518952199956402,4.518952199956402,4.518952199956402,4.549367199884728,right,0.02854149998165667,None,4.54941779980436,4.5496909997891635,,,,,998313,,,001,2024-12-26_22h25.22.668,glasgowFaceRecognition-Yagmur,2024.2.4,60.04166892797383,2024-12-26 22h25.38.890144 +0300,
same/085_C2_DV.jpg,left,same,0,7,7,0,left,0.060633699875324965,None,0,7,7,7,4.567536499816924,,,,,,,,,4.559828799916431,4.567536499816924,4.567536499816924,4.567536499816924,4.567536499816924,4.632391099818051,left,0.060633699875324965,None,4.632439599838108,4.632724899798632,,,,,998313,,,001,2024-12-26_22h25.22.668,glasgowFaceRecognition-Yagmur,2024.2.4,60.04166892797383,2024-12-26 22h25.38.890144 +0300,
same/092_C2_DV.jpg,left,same,0,8,8,0,right,0.12207059981301427,None,0,8,8,8,4.650587299838662,,,,,,,,,4.642822899855673,4.650587299838662,4.650587299838662,4.650587299838662,4.650587299838662,4.782409499865025,right,0.12207059981301427,None,4.782460100017488,4.782734500011429,,,,,998313,,,001,2024-12-26_22h25.22.668,glasgowFaceRecognition-Yagmur,2024.2.4,60.04166892797383,2024-12-26 22h25.38.890144 +0300,
