imageFile,corrAns,sameOrDiff,ori,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials_faceRecognition.thisRepN,trials_faceRecognition.thisTrialN,trials_faceRecognition.thisN,trials_faceRecognition.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,same_text.started,different_text.started,image.started,key_resp_2.started,arrow_left.started,arrow_right.started,trial.stopped,trials_faceRecognition.key_resp_2.keys,trials_faceRecognition.key_resp_2.rt,trials_faceRecognition.key_resp_2.duration,feedback.started,feedback.stopped,Participant ID,Age,Gender,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.00187299999993229,0.0045328999999583175,0.0045328999999583175,0.987560300000041,space,0.9639234999999644,None,,,,,,,,,,,,,,794566,,,001,2024-12-26_23h06.30.055,glasgowFaceRecognition-Yagmur,2024.2.4,59.95387149126976,2024-12-26 23h06.38.719875 +0300,
same/020_C2_DV.jpg,left,same,0,0,0,0,right,7.776054300000169,None,0,0,0,0,1.064901299999974,,,,,,,,,1.0318234000001212,1.064901299999974,1.064901299999974,1.064901299999974,1.064901299999974,1.064901299999974,1.064901299999974,8.850723300000027,right,7.776054300000169,None,8.850799800000004,8.851180699999986,794566,,,001,2024-12-26_23h06.30.055,glasgowFaceRecognition-Yagmur,2024.2.4,59.95387149126976,2024-12-26 23h06.38.719875 +0300,
same/025_C2_DV.jpg,left,same,0,1,1,0,left,0.33618120000005547,None,0,1,1,1,8.872194400000126,,,,,,,,,8.865301100000124,8.872194400000126,8.872194400000126,8.872194400000126,8.872194400000126,8.872194400000126,8.872194400000126,9.21789130000002,left,0.33618120000005547,None,9.217999100000043,9.218499199999997,794566,,,001,2024-12-26_23h06.30.055,glasgowFaceRecognition-Yagmur,2024.2.4,59.95387149126976,2024-12-26 23h06.38.719875 +0300,
same/068_C2_DV.jpg,left,same,0,2,2,0,right,0.17381060000002435,None,0,2,2,2,9.242262700000083,,,,,,,,,9.234789099999944,9.242262700000083,9.242262700000083,9.242262700000083,9.242262700000083,9.242262700000083,9.242262700000083,9.417248599999994,right,0.17381060000002435,None,9.417302500000005,9.417556800000057,794566,,,001,2024-12-26_23h06.30.055,glasgowFaceRecognition-Yagmur,2024.2.4,59.95387149126976,2024-12-26 23h06.38.719875 +0300,
same/069_C2_DV.jpg,left,same,0,3,3,0,left,0.10867849999999635,None,0,3,3,3,9.435393799999929,,,,,,,,,9.426351600000089,9.435393799999929,9.435393799999929,9.435393799999929,9.435393799999929,9.435393799999929,9.435393799999929,9.550985399999945,left,0.10867849999999635,None,9.551054400000112,9.551397700000052,794566,,,001,2024-12-26_23h06.30.055,glasgowFaceRecognition-Yagmur,2024.2.4,59.95387149126976,2024-12-26 23h06.38.719875 +0300,
same/074_C2_DV.jpg,left,same,0,4,4,0,right,0.15996629999995093,None,0,4,4,4,9.568811200000027,,,,,,,,,9.56121989999997,9.568811200000027,9.568811200000027,9.568811200000027,9.568811200000027,9.568811200000027,9.568811200000027,9.733920000000126,right,0.15996629999995093,None,9.73398730000008,9.734308199999987,794566,,,001,2024-12-26_23h06.30.055,glasgowFaceRecognition-Yagmur,2024.2.4,59.95387149126976,2024-12-26 23h06.38.719875 +0300,
same/075_DV_C2.jpg,left,same,0,5,5,0,left,0.07205940000017108,None,0,5,5,5,9.75246970000012,,,,,,,,,9.74515550000001,9.75246970000012,9.75246970000012,9.75246970000012,9.75246970000012,9.75246970000012,9.75246970000012,9.833665800000063,left,0.07205940000017108,None,9.833720200000016,9.83400030000007,794566,,,001,2024-12-26_23h06.30.055,glasgowFaceRecognition-Yagmur,2024.2.4,59.95387149126976,2024-12-26 23h06.38.719875 +0300,
same/081_C2_DV.jpg,left,same,0,6,6,0,right,0.18048240000007354,None,0,6,6,6,9.851830399999926,,,,,,,,,9.84292789999995,9.851830399999926,9.851830399999926,9.851830399999926,9.851830399999926,9.851830399999926,9.851830399999926,10.034186500000033,right,0.18048240000007354,None,10.034264000000121,10.034646300000077,794566,,,001,2024-12-26_23h06.30.055,glasgowFaceRecognition-Yagmur,2024.2.4,59.95387149126976,2024-12-26 23h06.38.719875 +0300,
same/085_C2_DV.jpg,left,same,0,7,7,0,left,0.09818429999995715,None,0,7,7,7,10.053961999999956,,,,,,,,,10.046946400000024,10.053961999999956,10.053961999999956,10.053961999999956,10.053961999999956,10.053961999999956,10.053961999999956,10.16709579999997,left,0.09818429999995715,None,10.167167000000063,10.167458399999987,794566,,,001,2024-12-26_23h06.30.055,glasgowFaceRecognition-Yagmur,2024.2.4,59.95387149126976,2024-12-26 23h06.38.719875 +0300,
same/092_C2_DV.jpg,left,same,0,8,8,0,right,0.23030629999993835,None,0,8,8,8,10.185455300000058,,,,,,,,,10.177800700000034,10.185455300000058,10.185455300000058,10.185455300000058,10.185455300000058,10.185455300000058,10.185455300000058,10.417387899999994,right,0.23030629999993835,None,10.417464999999993,10.417755599999964,794566,,,001,2024-12-26_23h06.30.055,glasgowFaceRecognition-Yagmur,2024.2.4,59.95387149126976,2024-12-26 23h06.38.719875 +0300,
