imageFile,corrAns,sameOrDiff,ori,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials_faceRecognition.thisRepN,trials_faceRecognition.thisTrialN,trials_faceRecognition.thisN,trials_faceRecognition.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,same_text.started,different_text.started,image.started,key_resp_2.started,polygon.started,trial.stopped,trials_faceRecognition.key_resp_2.keys,trials_faceRecognition.key_resp_2.rt,trials_faceRecognition.key_resp_2.duration,feedback.started,feedback.stopped,thanks_message.started,thank_you_message.started,Participant ID,Age,Gender,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0020276999999850887,0.006862499999897409,0.006862499999897409,1.6412274999999,space,1.2618007999999463,None,,,,,,,,,,,,,,,375450,,,001,2024-12-26_22h51.58.338,glasgowFaceRecognition-Yagmur,2024.2.4,60.06254913870495,2024-12-26 22h52.05.293173 +0300,
same/020_C2_DV.jpg,left,same,0,0,0,0,left,1.3093906000000288,None,0,0,0,0,1.7278925999999046,,,,,,,,,1.6897173999999495,1.7278925999999046,1.7278925999999046,1.7278925999999046,1.7278925999999046,1.7278925999999046,3.042688299999895,left,1.3093906000000288,None,3.042746399999942,3.043002099999967,,,375450,,,001,2024-12-26_22h51.58.338,glasgowFaceRecognition-Yagmur,2024.2.4,60.06254913870495,2024-12-26 22h52.05.293173 +0300,
same/025_C2_DV.jpg,left,same,0,1,1,0,right,0.6150324999999839,None,0,1,1,1,3.0610862999999426,,,,,,,,,3.0537563999999975,3.0610862999999426,3.0610862999999426,3.0610862999999426,3.0610862999999426,3.0610862999999426,3.692578899999944,right,0.6150324999999839,None,3.6926381999999194,3.6929119999999784,,,375450,,,001,2024-12-26_22h51.58.338,glasgowFaceRecognition-Yagmur,2024.2.4,60.06254913870495,2024-12-26 22h52.05.293173 +0300,
same/068_C2_DV.jpg,left,same,0,2,2,0,left,0.3375252000000728,None,0,2,2,2,3.795177499999909,,,,,,,,,3.7875594999999294,3.795177499999909,3.795177499999909,3.795177499999909,3.795177499999909,3.795177499999909,4.142187999999919,left,0.3375252000000728,None,4.14224379999996,4.142570699999965,,,375450,,,001,2024-12-26_22h51.58.338,glasgowFaceRecognition-Yagmur,2024.2.4,60.06254913870495,2024-12-26 22h52.05.293173 +0300,
same/069_C2_DV.jpg,left,same,0,3,3,0,right,0.19101609999995617,None,0,3,3,3,4.2461154999999735,,,,,,,,,4.237911099999906,4.2461154999999735,4.2461154999999735,4.2461154999999735,4.2461154999999735,4.2461154999999735,4.442345099999898,right,0.19101609999995617,None,4.442401399999994,4.44268749999992,,,375450,,,001,2024-12-26_22h51.58.338,glasgowFaceRecognition-Yagmur,2024.2.4,60.06254913870495,2024-12-26 22h52.05.293173 +0300,
same/074_C2_DV.jpg,left,same,0,4,4,0,left,0.1921652000000904,None,0,4,4,4,4.461160899999982,,,,,,,,,4.453681599999982,4.461160899999982,4.461160899999982,4.461160899999982,4.461160899999982,4.461160899999982,4.658888299999944,left,0.1921652000000904,None,4.658953799999949,4.659284899999989,,,375450,,,001,2024-12-26_22h51.58.338,glasgowFaceRecognition-Yagmur,2024.2.4,60.06254913870495,2024-12-26 22h52.05.293173 +0300,
same/075_DV_C2.jpg,left,same,0,5,5,0,right,0.12795299999993404,None,0,5,5,5,4.685515899999928,,,,,,,,,4.6781766999999945,4.685515899999928,4.685515899999928,4.685515899999928,4.685515899999928,4.685515899999928,4.825854699999923,right,0.12795299999993404,None,4.825911299999916,4.826194099999952,,,375450,,,001,2024-12-26_22h51.58.338,glasgowFaceRecognition-Yagmur,2024.2.4,60.06254913870495,2024-12-26 22h52.05.293173 +0300,
same/081_C2_DV.jpg,left,same,0,6,6,0,left,0.08076500000004216,None,0,6,6,6,4.8444120999999996,,,,,,,,,4.837053999999966,4.8444120999999996,4.8444120999999996,4.8444120999999996,4.8444120999999996,4.8444120999999996,4.942057299999988,left,0.08076500000004216,None,4.94211329999996,4.942375599999991,,,375450,,,001,2024-12-26_22h51.58.338,glasgowFaceRecognition-Yagmur,2024.2.4,60.06254913870495,2024-12-26 22h52.05.293173 +0300,
same/085_C2_DV.jpg,left,same,0,7,7,0,right,0.11532199999999193,None,0,7,7,7,4.960748499999909,,,,,,,,,4.953291199999967,4.960748499999909,4.960748499999909,4.960748499999909,4.960748499999909,4.960748499999909,5.092094399999951,right,0.11532199999999193,None,5.092157699999916,5.092437199999949,,,375450,,,001,2024-12-26_22h51.58.338,glasgowFaceRecognition-Yagmur,2024.2.4,60.06254913870495,2024-12-26 22h52.05.293173 +0300,
same/092_C2_DV.jpg,left,same,0,8,8,0,left,0.09327380000001995,None,0,8,8,8,5.110771599999907,,,,,,,,,5.103445499999907,5.110771599999907,5.110771599999907,5.110771599999907,5.110771599999907,5.110771599999907,5.208796299999904,left,0.09327380000001995,None,5.208853299999987,5.209135999999944,,,375450,,,001,2024-12-26_22h51.58.338,glasgowFaceRecognition-Yagmur,2024.2.4,60.06254913870495,2024-12-26 22h52.05.293173 +0300,
