imageFile,corrAns,sameOrDiff,ori,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials_faceRecognition.thisRepN,trials_faceRecognition.thisTrialN,trials_faceRecognition.thisN,trials_faceRecognition.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,image.started,same_text.started,different_text.started,key_resp_2.started,trial.stopped,trials_faceRecognition.key_resp_2.keys,trials_faceRecognition.key_resp_2.rt,trials_faceRecognition.key_resp_2.duration,feedback.started,feedback.stopped,Participant ID,Age,Gender,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0020316001027822495,0.0059628000017255545,0.0059628000017255545,2.2207425001543015,space,2.205276899971068,None,,,,,,,,,,,,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
same/020_C2_DV.jpg,left,same,0,0,0,0,right,1.0356389000080526,None,0,0,0,0,2.3261174000799656,,,,,,,,,2.276623700046912,2.3261174000799656,2.3261174000799656,2.3261174000799656,2.3261174000799656,3.367710700025782,right,1.0356389000080526,None,3.3677758001722395,3.3681173000950366,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
same/025_C2_DV.jpg,left,same,0,1,1,0,left,0.39959529996849597,None,0,1,1,1,3.388248900184408,,,,,,,,,3.380652700085193,3.388248900184408,3.388248900184408,3.388248900184408,3.388248900184408,3.800984699977562,left,0.39959529996849597,None,3.801050700014457,3.8013957999646664,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
same/068_C2_DV.jpg,left,same,0,2,2,0,left,0.3822312999982387,None,0,2,2,2,3.8198622001800686,,,,,,,,,3.8130338001064956,3.8198622001800686,3.8198622001800686,3.8198622001800686,3.8198622001800686,4.218198799993843,left,0.3822312999982387,None,4.218264200026169,4.2186112001072615,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
same/069_C2_DV.jpg,left,same,0,3,3,0,right,0.33465959993191063,None,0,3,3,3,4.236764500150457,,,,,,,,,4.230085500050336,4.236764500150457,4.236764500150457,4.236764500150457,4.236764500150457,4.584420500090346,right,0.33465959993191063,None,4.584492300171405,4.584882600000128,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
same/074_C2_DV.jpg,left,same,0,4,4,0,left,0.50117740011774,None,0,4,4,4,4.604484600014985,,,,,,,,,4.597545100143179,4.604484600014985,4.604484600014985,4.604484600014985,4.604484600014985,5.11760550015606,left,0.50117740011774,None,5.117670400068164,5.118011600105092,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
same/075_DV_C2.jpg,left,same,0,5,5,0,left,0.642374400049448,None,0,5,5,5,5.136756400112063,,,,,,,,,5.129609600175172,5.136756400112063,5.136756400112063,5.136756400112063,5.136756400112063,5.784279600018635,left,0.642374400049448,None,5.784345400054008,5.7846872000955045,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
same/081_C2_DV.jpg,left,same,0,6,6,0,left,0.20008879993110895,None,0,6,6,6,5.803080999990925,,,,,,,,,5.796400499995798,5.803080999990925,5.803080999990925,5.803080999990925,5.803080999990925,6.01748160016723,left,0.20008879993110895,None,6.017537500010803,6.017826700117439,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
same/085_C2_DV.jpg,left,same,0,7,7,0,right,0.45476650004275143,None,0,7,7,7,6.03581180004403,,,,,,,,,6.027838600100949,6.03581180004403,6.03581180004403,6.03581180004403,6.03581180004403,6.500548500102013,right,0.45476650004275143,None,6.50060150003992,6.500878000166267,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
same/092_C2_DV.jpg,left,same,0,8,8,0,left,0.2116030000615865,None,0,8,8,8,6.519382500089705,,,,,,,,,6.510434200055897,6.519382500089705,6.519382500089705,6.519382500089705,6.519382500089705,6.734078400069848,left,0.2116030000615865,None,6.734134700149298,6.734424800146371,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
same/102_C2_DV.jpg,left,same,0,9,9,0,left,0.865647500148043,None,0,9,9,9,6.752472700085491,,,,,,,,,6.744579000165686,6.752472700085491,6.752472700085491,6.752472700085491,6.752472700085491,7.634385199984536,left,0.865647500148043,None,7.634467700030655,7.634893800131977,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
same/108_DV_C2.jpg,left,same,0,10,10,0,right,0.17882719985209405,None,0,10,10,10,7.65569410007447,,,,,,,,,7.648958200123161,7.65569410007447,7.65569410007447,7.65569410007447,7.65569410007447,7.850657100090757,right,0.17882719985209405,None,7.850723400013521,7.851066900184378,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
same/115_C2_DV.jpg,left,same,0,11,11,0,left,0.46862610010430217,None,0,11,11,11,7.869791300036013,,,,,,,,,7.862814699998125,7.869791300036013,7.869791300036013,7.869791300036013,7.869791300036013,8.350516800070181,left,0.46862610010430217,None,8.350590100046247,8.350967100122944,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
same/120_DV_C2.jpg,left,same,0,12,12,0,right,0.12107590003870428,None,0,12,12,12,8.369063599966466,,,,,,,,,8.362274399958551,8.369063599966466,8.369063599966466,8.369063599966466,8.369063599966466,8.50029950006865,right,0.12107590003870428,None,8.500361900078133,8.500654299976304,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
same/129_C2_DV.jpg,left,same,0,13,13,0,left,0.09947819984517992,None,0,13,13,13,8.518731800140813,,,,,,,,,8.510555100161582,8.518731800140813,8.518731800140813,8.518731800140813,8.518731800140813,8.63363920012489,left,0.09947819984517992,None,8.633694000076503,8.633984700078145,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
same/136_C2_DV.jpg,left,same,0,14,14,0,left,0.06346399988979101,None,0,14,14,14,8.652188200037926,,,,,,,,,8.643992600031197,8.652188200037926,8.652188200037926,8.652188200037926,8.652188200037926,8.717206500004977,left,0.06346399988979101,None,8.717260300181806,8.717539800098166,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
same/139_DV_C2.jpg,left,same,0,15,15,0,right,0.003403299953788519,None,0,15,15,15,8.735137399984524,,,,,,,,,8.727014500182122,8.735137399984524,8.735137399984524,8.735137399984524,8.735137399984524,8.750321100000292,right,0.003403299953788519,None,8.75037240004167,8.750656800111756,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
same/168_C2_DV.jpg,left,same,0,16,16,0,left,0.10578670003451407,None,0,16,16,16,8.768695200094953,,,,,,,,,8.76035730005242,8.768695200094953,8.768695200094953,8.768695200094953,8.768695200094953,8.884248400107026,left,0.10578670003451407,None,8.884311400121078,8.884574700146914,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
same/170_DV_C2.jpg,left,same,0,17,17,0,right,0.10149599984288216,None,0,17,17,17,8.902292100014165,,,,,,,,,8.895106500014663,8.902292100014165,8.902292100014165,8.902292100014165,8.902292100014165,9.016977400053293,right,0.10149599984288216,None,9.01703150011599,9.01733100018464,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
same/235_C2_DV.jpg,left,same,0,18,18,0,left,0.05613289983011782,None,0,18,18,18,9.03513460000977,,,,,,,,,9.02754220017232,9.03513460000977,9.03513460000977,9.03513460000977,9.03513460000977,9.100145400036126,left,0.05613289983011782,None,9.100196700077504,9.10047040018253,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
same/303_DV_C2.jpg,left,same,0,19,19,0,right,0.09265140001662076,None,0,19,19,19,9.118977000005543,,,,,,,,,9.109467800008133,9.118977000005543,9.118977000005543,9.118977000005543,9.118977000005543,9.21719630016014,right,0.09265140001662076,None,9.217252100119367,9.217546600149944,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
different/013_235_R.jpg,right,different,0,20,20,0,left,0.05281780008226633,None,0,20,20,20,9.237106600077823,,,,,,,,,9.23101170011796,9.237106600077823,9.237106600077823,9.237106600077823,9.237106600077823,9.299717999994755,left,0.05281780008226633,None,9.299779300112277,9.300118500133976,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
different/019_074_L.jpg,right,different,0,21,21,0,right,0.11857339995913208,None,0,21,21,21,9.315885200165212,,,,,,,,,9.309336800128222,9.315885200165212,9.315885200165212,9.315885200165212,9.315885200165212,9.449772200081497,right,0.11857339995913208,None,9.44982730015181,9.450063300086185,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
different/025_235_L.jpg,right,different,0,22,22,0,left,0.04923169990070164,None,0,22,22,22,9.465877400012687,,,,,,,,,9.459474900038913,9.465877400012687,9.465877400012687,9.465877400012687,9.465877400012687,9.516375600127503,left,0.04923169990070164,None,9.516425300156698,9.516703000059351,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
different/049_218_L.jpg,right,different,0,23,23,0,right,0.14944469998590648,None,0,23,23,23,9.532527700066566,,,,,,,,,9.524724900024012,9.532527700066566,9.532527700066566,9.532527700066566,9.532527700066566,9.683482800144702,right,0.14944469998590648,None,9.683540099998936,9.683852100046352,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
different/076_109_R.jpg,right,different,0,24,24,0,left,0.07980360020883381,None,0,24,24,24,9.69895560014993,,,,,,,,,9.69373910012655,9.69895560014993,9.69895560014993,9.69895560014993,9.69895560014993,9.783228600164875,left,0.07980360020883381,None,9.783285500016063,9.783611500170082,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
different/077_133_R.jpg,right,different,0,25,25,0,right,0.08308629994280636,None,0,25,25,25,9.799319500103593,,,,,,,,,9.793329000007361,9.799319500103593,9.799319500103593,9.799319500103593,9.799319500103593,9.884335100185126,right,0.08308629994280636,None,9.884395600063726,9.884657700080425,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
different/091_283_R.jpg,right,different,0,26,26,0,left,0.07946009980514646,None,0,26,26,26,9.899184700101614,,,,,,,,,9.894871100084856,9.899184700101614,9.899184700101614,9.899184700101614,9.899184700101614,9.983156900154427,left,0.07946009980514646,None,9.983207799959928,9.98356349999085,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
different/092_283_L.jpg,right,different,0,27,27,0,right,0.1560249999165535,None,0,27,27,27,9.99915420007892,,,,,,,,,9.992235400015488,9.99915420007892,9.99915420007892,9.99915420007892,9.99915420007892,10.1664124999661,right,0.1560249999165535,None,10.166463500121608,10.16674210014753,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
different/102_224_R.jpg,right,different,0,28,28,0,left,0.03645940008573234,None,0,28,28,28,10.182569900061935,,,,,,,,,10.175375699996948,10.182569900061935,10.182569900061935,10.182569900061935,10.182569900061935,10.233850500080734,left,0.03645940008573234,None,10.233905100030825,10.234186199959368,392288,,,001,2024-12-26_22h23.26.899,glasgowFaceRecognition-Yagmur,2024.2.4,59.97220890415576,2024-12-26 22h24.22.132106 +0300,
