imageFile,corrAns,sameOrDiff,ori,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials_faceRecognition.thisRepN,trials_faceRecognition.thisTrialN,trials_faceRecognition.thisN,trials_faceRecognition.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,same_text.started,different_text.started,image.started,key_resp_2.started,arrow_left.started,arrow_right.started,trial.stopped,trials_faceRecognition.key_resp_2.keys,trials_faceRecognition.key_resp_2.rt,trials_faceRecognition.key_resp_2.duration,feedback.started,feedback.stopped,thanks_message.started,thank_you_message.started,thank_you_message.stopped,thanks_message.stopped,Participant ID,Age,Gender,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0017751000000316708,0.004250899999988178,0.004250899999988178,2.5944756999999754,space,2.58204899999987,None,,,,,,,,,,,,,,,,,,252857,,,001,2024-12-26_23h14.25.848,glasgowFaceRecognition-Yagmur,2024.2.4,59.98166960173961,2024-12-26 23h14.31.501471 +0300,
same/020_C2_DV.jpg,left,same,0,0,0,0,left,1.8828154000000268,None,0,0,0,0,2.6717157000000498,,,,,,,,,2.637578699999949,2.6717157000000498,2.6717157000000498,2.6717157000000498,2.6717157000000498,2.6717157000000498,2.6717157000000498,4.558342099999891,left,1.8828154000000268,None,4.558408299999883,4.558744400000023,,,,,252857,,,001,2024-12-26_23h14.25.848,glasgowFaceRecognition-Yagmur,2024.2.4,59.98166960173961,2024-12-26 23h14.31.501471 +0300,
same/025_C2_DV.jpg,left,same,0,1,1,0,right,8.321620800000119,None,0,1,1,1,4.576805500000091,,,,,,,,,4.569415899999967,4.576805500000091,4.576805500000091,4.576805500000091,4.576805500000091,4.576805500000091,4.576805500000091,12.907457399999885,right,8.321620800000119,None,12.907535499999994,12.907906400000002,,,,,252857,,,001,2024-12-26_23h14.25.848,glasgowFaceRecognition-Yagmur,2024.2.4,59.98166960173961,2024-12-26 23h14.31.501471 +0300,
same/068_C2_DV.jpg,left,same,0,2,2,0,left,0.6044561000001067,None,0,2,2,2,12.925589799999898,,,,,,,,,12.918760399999883,12.925589799999898,12.925589799999898,12.925589799999898,12.925589799999898,12.925589799999898,12.925589799999898,13.54089040000008,left,0.6044561000001067,None,13.54096780000009,13.54134339999996,,,,,252857,,,001,2024-12-26_23h14.25.848,glasgowFaceRecognition-Yagmur,2024.2.4,59.98166960173961,2024-12-26 23h14.31.501471 +0300,
same/069_C2_DV.jpg,left,same,0,3,3,0,right,0.17865219999998772,None,0,3,3,3,13.560626499999898,,,,,,,,,13.553721400000086,13.560626499999898,13.560626499999898,13.560626499999898,13.560626499999898,13.560626499999898,13.560626499999898,13.740875199999891,right,0.17865219999998772,None,13.740930200000093,13.741193000000067,,,,,252857,,,001,2024-12-26_23h14.25.848,glasgowFaceRecognition-Yagmur,2024.2.4,59.98166960173961,2024-12-26 23h14.31.501471 +0300,
same/074_C2_DV.jpg,left,same,0,4,4,0,left,0.06766789999983303,None,0,4,4,4,13.758546000000024,,,,,,,,,13.749988099999882,13.758546000000024,13.758546000000024,13.758546000000024,13.758546000000024,13.758546000000024,13.758546000000024,13.840638800000079,left,0.06766789999983303,None,13.84070500000007,13.841004200000043,,,,,252857,,,001,2024-12-26_23h14.25.848,glasgowFaceRecognition-Yagmur,2024.2.4,59.98166960173961,2024-12-26 23h14.31.501471 +0300,
same/075_DV_C2.jpg,left,same,0,5,5,0,right,0.14435309999998935,None,0,5,5,5,13.858229599999959,,,,,,,,,13.850570699999935,13.858229599999959,13.858229599999959,13.858229599999959,13.858229599999959,13.858229599999959,13.858229599999959,14.00752650000004,right,0.14435309999998935,None,14.007611199999928,14.008036599999969,,,,,252857,,,001,2024-12-26_23h14.25.848,glasgowFaceRecognition-Yagmur,2024.2.4,59.98166960173961,2024-12-26 23h14.31.501471 +0300,
same/081_C2_DV.jpg,left,same,0,6,6,0,left,0.06955879999986792,None,0,6,6,6,14.029246199999989,,,,,,,,,14.022008599999936,14.029246199999989,14.029246199999989,14.029246199999989,14.029246199999989,14.029246199999989,14.029246199999989,14.10717139999997,left,0.06955879999986792,None,14.107246099999884,14.107620100000076,,,,,252857,,,001,2024-12-26_23h14.25.848,glasgowFaceRecognition-Yagmur,2024.2.4,59.98166960173961,2024-12-26 23h14.31.501471 +0300,
same/085_C2_DV.jpg,left,same,0,7,7,0,right,0.10775100000000748,None,0,7,7,7,14.126553300000069,,,,,,,,,14.119722700000011,14.126553300000069,14.126553300000069,14.126553300000069,14.126553300000069,14.126553300000069,14.126553300000069,14.240252499999997,right,0.10775100000000748,None,14.240311399999882,14.240608500000008,,,,,252857,,,001,2024-12-26_23h14.25.848,glasgowFaceRecognition-Yagmur,2024.2.4,59.98166960173961,2024-12-26 23h14.31.501471 +0300,
same/092_C2_DV.jpg,left,same,0,8,8,0,left,0.07985689999986789,None,0,8,8,8,14.25843359999999,,,,,,,,,14.250266600000032,14.25843359999999,14.25843359999999,14.25843359999999,14.25843359999999,14.25843359999999,14.25843359999999,14.340495799999871,left,0.07985689999986789,None,14.340550800000074,14.340832699999964,,,,,252857,,,001,2024-12-26_23h14.25.848,glasgowFaceRecognition-Yagmur,2024.2.4,59.98166960173961,2024-12-26 23h14.31.501471 +0300,
