imageFile,corrAns,sameOrDiff,ori,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials_faceRecognition.thisRepN,trials_faceRecognition.thisTrialN,trials_faceRecognition.thisN,trials_faceRecognition.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,image.started,same_text.started,different_text.started,key_resp_2.started,trial.stopped,trials_faceRecognition.key_resp_2.keys,trials_faceRecognition.key_resp_2.rt,trials_faceRecognition.key_resp_2.duration,feedback.started,feedback.stopped,thanks_message.started,thank_you_message.started,Participant ID,Age,Gender,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0017146000172942877,0.005086599849164486,0.005086599849164486,2.1435133998747915,space,2.0701236999593675,None,,,,,,,,,,,,,,531304,,,001,2024-12-26_22h17.44.956,glasgowFaceRecognition-Yagmur,2024.2.4,59.88959949435223,2024-12-26 22h17.50.292969 +0300,
same/020_C2_DV.jpg,left,same,0,0,0,0,left,0.557113999966532,None,0,0,0,0,2.252614099998027,,,,,,,,,2.186346000060439,2.252614099998027,2.252614099998027,2.252614099998027,2.252614099998027,2.8242899000179023,left,0.557113999966532,None,2.824340600054711,2.824621999869123,,,531304,,,001,2024-12-26_22h17.44.956,glasgowFaceRecognition-Yagmur,2024.2.4,59.88959949435223,2024-12-26 22h17.50.292969 +0300,
same/025_C2_DV.jpg,left,same,0,1,1,0,right,0.7778400001116097,None,0,1,1,1,2.847281099995598,,,,,,,,,2.840745599940419,2.847281099995598,2.847281099995598,2.847281099995598,2.847281099995598,3.6405535999219865,right,0.7778400001116097,None,3.6406043998431414,3.6408728000242263,,,531304,,,001,2024-12-26_22h17.44.956,glasgowFaceRecognition-Yagmur,2024.2.4,59.88959949435223,2024-12-26 22h17.50.292969 +0300,
same/068_C2_DV.jpg,left,same,0,2,2,0,right,0.6831926999147981,None,0,2,2,2,3.6630265000276268,,,,,,,,,3.6562848000321537,3.6630265000276268,3.6630265000276268,3.6630265000276268,3.6630265000276268,4.357374100014567,right,0.6831926999147981,None,4.357447899878025,4.357832700014114,,,531304,,,001,2024-12-26_22h17.44.956,glasgowFaceRecognition-Yagmur,2024.2.4,59.88959949435223,2024-12-26 22h17.50.292969 +0300,
same/069_C2_DV.jpg,left,same,0,3,3,0,left,0.7324483001139015,None,0,3,3,3,4.381790299899876,,,,,,,,,4.375129899941385,4.381790299899876,4.381790299899876,4.381790299899876,4.381790299899876,5.124340299982578,left,0.7324483001139015,None,5.1244234999176115,5.124868100043386,,,531304,,,001,2024-12-26_22h17.44.956,glasgowFaceRecognition-Yagmur,2024.2.4,59.88959949435223,2024-12-26 22h17.50.292969 +0300,
same/074_C2_DV.jpg,left,same,0,4,4,0,left,0.6850111000239849,None,0,4,4,4,5.14917099988088,,,,,,,,,5.142377799842507,5.14917099988088,5.14917099988088,5.14917099988088,5.14917099988088,5.840891700005159,left,0.6850111000239849,None,5.840974499937147,5.8414074999745935,,,531304,,,001,2024-12-26_22h17.44.956,glasgowFaceRecognition-Yagmur,2024.2.4,59.88959949435223,2024-12-26 22h17.50.292969 +0300,
same/075_DV_C2.jpg,left,same,0,5,5,0,right,0.5916581999044865,None,0,5,5,5,5.865997399901971,,,,,,,,,5.8592852998990566,5.865997399901971,5.865997399901971,5.865997399901971,5.865997399901971,6.474217399954796,right,0.5916581999044865,None,6.474300399888307,6.474752299953252,,,531304,,,001,2024-12-26_22h17.44.956,glasgowFaceRecognition-Yagmur,2024.2.4,59.88959949435223,2024-12-26 22h17.50.292969 +0300,
same/081_C2_DV.jpg,left,same,0,6,6,0,left,0.7112004000227898,None,0,6,6,6,6.499307799851522,,,,,,,,,6.4927662999834865,6.499307799851522,6.499307799851522,6.499307799851522,6.499307799851522,7.223843999905512,left,0.7112004000227898,None,7.223928899969906,7.224422799888998,,,531304,,,001,2024-12-26_22h17.44.956,glasgowFaceRecognition-Yagmur,2024.2.4,59.88959949435223,2024-12-26 22h17.50.292969 +0300,
same/085_C2_DV.jpg,left,same,0,7,7,0,right,1.4172197999432683,None,0,7,7,7,7.2487584999762475,,,,,,,,,7.24222969985567,7.2487584999762475,7.2487584999762475,7.2487584999762475,7.2487584999762475,8.674117999849841,right,1.4172197999432683,None,8.674202899914235,8.674636599840596,,,531304,,,001,2024-12-26_22h17.44.956,glasgowFaceRecognition-Yagmur,2024.2.4,59.88959949435223,2024-12-26 22h17.50.292969 +0300,
same/092_C2_DV.jpg,left,same,0,8,8,0,left,0.28763929987326264,None,0,8,8,8,8.699011699995026,,,,,,,,,8.69239449989982,8.699011699995026,8.699011699995026,8.699011699995026,8.699011699995026,8.990488099865615,left,0.28763929987326264,None,8.990572199923918,8.991006899857894,,,531304,,,001,2024-12-26_22h17.44.956,glasgowFaceRecognition-Yagmur,2024.2.4,59.88959949435223,2024-12-26 22h17.50.292969 +0300,
