imageFile,corrAns,sameOrDiff,ori,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials_faceRecognition.thisRepN,trials_faceRecognition.thisTrialN,trials_faceRecognition.thisN,trials_faceRecognition.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,same_text.started,different_text.started,image.started,key_resp_2.started,polygon.started,trial.stopped,trials_faceRecognition.key_resp_2.keys,trials_faceRecognition.key_resp_2.rt,trials_faceRecognition.key_resp_2.duration,feedback.started,feedback.stopped,Participant ID,Age,Gender,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0016196000000263666,0.004241299999989678,0.004241299999989678,1.3646748999999545,space,1.3468463000000384,None,,,,,,,,,,,,,971316,,,001,2024-12-26_22h57.31.221,glasgowFaceRecognition-Yagmur,2024.2.4,60.01507578702965,2024-12-26 22h57.36.761544 +0300,
same/020_C2_DV.jpg,left,same,0,0,0,0,left,4.642101600000046,None,0,0,0,0,1.4379979999999932,,,,,,,,,1.40416909999999,1.4379979999999932,1.4379979999999932,1.4379979999999932,1.4379979999999932,1.4379979999999932,6.09567340000001,left,4.642101600000046,None,6.09572419999995,6.09600219999993,971316,,,001,2024-12-26_22h57.31.221,glasgowFaceRecognition-Yagmur,2024.2.4,60.01507578702965,2024-12-26 22h57.36.761544 +0300,
same/025_C2_DV.jpg,left,same,0,1,1,0,right,1.1737051999999721,None,0,1,1,1,6.11357129999999,,,,,,,,,6.105134099999987,6.11357129999999,6.11357129999999,6.11357129999999,6.11357129999999,6.11357129999999,7.296137599999952,right,1.1737051999999721,None,7.296223800000007,7.2966678999999885,971316,,,001,2024-12-26_22h57.31.221,glasgowFaceRecognition-Yagmur,2024.2.4,60.01507578702965,2024-12-26 22h57.36.761544 +0300,
same/068_C2_DV.jpg,left,same,0,2,2,0,left,0.45720810000000256,None,0,2,2,2,7.317548200000033,,,,,,,,,7.3105494000000135,7.317548200000033,7.317548200000033,7.317548200000033,7.317548200000033,7.317548200000033,7.779333599999973,left,0.45720810000000256,None,7.779428800000005,7.779875999999945,971316,,,001,2024-12-26_22h57.31.221,glasgowFaceRecognition-Yagmur,2024.2.4,60.01507578702965,2024-12-26 22h57.36.761544 +0300,
same/069_C2_DV.jpg,left,same,0,3,3,0,right,1.0416891999999507,None,0,3,3,3,7.797399599999949,,,,,,,,,7.790647199999967,7.797399599999949,7.797399599999949,7.797399599999949,7.797399599999949,7.797399599999949,8.846066399999927,right,1.0416891999999507,None,8.846152599999982,8.846572999999921,971316,,,001,2024-12-26_22h57.31.221,glasgowFaceRecognition-Yagmur,2024.2.4,60.01507578702965,2024-12-26 22h57.36.761544 +0300,
same/074_C2_DV.jpg,left,same,0,4,4,0,left,0.4516914999999244,None,0,4,4,4,8.867697000000021,,,,,,,,,8.860466999999971,8.867697000000021,8.867697000000021,8.867697000000021,8.867697000000021,8.867697000000021,9.328687800000012,left,0.4516914999999244,None,9.328737899999965,9.328991599999995,971316,,,001,2024-12-26_22h57.31.221,glasgowFaceRecognition-Yagmur,2024.2.4,60.01507578702965,2024-12-26 22h57.36.761544 +0300,
same/075_DV_C2.jpg,left,same,0,5,5,0,right,0.2838180999999622,None,0,5,5,5,9.346629399999983,,,,,,,,,9.337452999999982,9.346629399999983,9.346629399999983,9.346629399999983,9.346629399999983,9.346629399999983,9.645536499999935,right,0.2838180999999622,None,9.645601499999998,9.645916299999953,971316,,,001,2024-12-26_22h57.31.221,glasgowFaceRecognition-Yagmur,2024.2.4,60.01507578702965,2024-12-26 22h57.36.761544 +0300,
same/081_C2_DV.jpg,left,same,0,6,6,0,left,0.247739700000011,None,0,6,6,6,9.663289099999929,,,,,,,,,9.656553099999996,9.663289099999929,9.663289099999929,9.663289099999929,9.663289099999929,9.663289099999929,9.912095000000022,left,0.247739700000011,None,9.912148499999944,9.912419699999987,971316,,,001,2024-12-26_22h57.31.221,glasgowFaceRecognition-Yagmur,2024.2.4,60.01507578702965,2024-12-26 22h57.36.761544 +0300,
same/085_C2_DV.jpg,left,same,0,7,7,0,right,0.3322828999999956,None,0,7,7,7,9.929969899999946,,,,,,,,,9.921552199999951,9.929969899999946,9.929969899999946,9.929969899999946,9.929969899999946,9.929969899999946,10.27852729999995,right,0.3322828999999956,None,10.27859479999995,10.278904399999988,971316,,,001,2024-12-26_22h57.31.221,glasgowFaceRecognition-Yagmur,2024.2.4,60.01507578702965,2024-12-26 22h57.36.761544 +0300,
same/092_C2_DV.jpg,left,same,0,8,8,0,left,0.40694469999994,None,0,8,8,8,10.29680940000003,,,,,,,,,10.288358700000003,10.29680940000003,10.29680940000003,10.29680940000003,10.29680940000003,10.29680940000003,10.711801100000002,left,0.40694469999994,None,10.711858499999948,10.712203499999987,971316,,,001,2024-12-26_22h57.31.221,glasgowFaceRecognition-Yagmur,2024.2.4,60.01507578702965,2024-12-26 22h57.36.761544 +0300,
